flight, total cost 15 min. delay (€), total cost 30 min. delay (€), total cost 60 min. delay (€)
KJ199722,4285500,24835500,120085500
RY135065,4740000,26733750,124149000
AR160874,4384500,25992000,122305500
KJ150818,1818000,17805750,105309750
ED62565,6750,751500,36632250
KJ169867,72000,10581750,85869750
AR121198,13500,5183250,70375500
AR159836,4577250,22587750,104806500
VL186567,2521500,21327000,117873750
AR112495,11250,22500,1136250
RY127689,6214500,28145250,117773250
RY159525,6000,3177000,46385250
RT149853,3834000,20630250,98291250
XC170336,20250,1914750,51172500
KJ127763,4334250,24963750,122796750
RY185276,13806000,51024750,167535000
XC67902,750,1500,7734000
RY214640,3276750,24375750,127644000
XC80913,15750,6927000,77867250
RT71152,714000,6499500,63504750
RY128215,2532000,13882500,79743750
KJ11029,3515250,23145000,117639000
KJ8220,7500,130500,29008500
RT143101,2240250,16750500,104298750
XC4899,1213500,11127000,78597750
ED161444,22500,4457250,64741500
KJ51301,4500,2175000,38090250
XC111192,3576000,20199000,99264750
ED15738,2771250,15502500,82050000
FT201256,3969000,22590000,102444750
RT112395,1560750,10496250,76254000
FT162244,22500,4664250,65742750
KJ123815,6856500,30389250,126029250
VL13544,496500,13525500,93069750
VL135557,132000,11103750,98082750
KJ83551,6000,2653500,38706000
AR49887,5764500,24533250,105101250
FT25381,12000,7707750,83082000
AR109726,9076500,36375000,136330500
AR162913,3694500,22563000,109103250
RY161559,1568250,12386250,85705500
AR55341,2250,995250,44551500
RY51568,2250,4500,14591250
RY93208,4108500,23236500,108355500
AR140055,3513750,20617500,102526500
VL44989,2328750,15717750,95316000
AR88167,6008250,28523250,123507000
RY136927,2494500,15600750,88506000
KJ143002,4500,2264250,31566000
XC103864,4406250,21625500,100664250
ED125089,2474250,17019000,91221000
XC80854,5250,2597250,46673250
ED182971,3895500,22327500,110027250
FT51650,504750,7649250,65928750
XC151008,39750,4407750,60753750
FT166920,6750,2860500,40512750
FT96834,6123750,28256250,121333500
RY217367,7500,33750,27022500
ED137779,4683000,23780250,107657250
XC23504,2154000,16068750,97941750
ED83423,2250,4500,7794000
FT75462,36750,5853750,61487250
FT216864,2853000,17243250,87715500
RT81950,3000,7742250,79102500
XC216120,2378250,15334500,90352500
AR122747,26250,6731250,66372750
AR60341,6000,1487250,32097000
ED36762,5250,740250,30549750
RY77181,66000,7592250,73557750
KJ108884,13500,1344000,26809500
KJ129953,6750,16500,17961000
RT47926,4987500,23670000,99210000
RT101042,42750,9432750,88539750
ED164171,2184750,12667500,70008000
RT212286,902250,12802500,87813750
ED68333,1666500,12682500,78114000
RT108009,17250,8121000,68529000
FT143698,3735000,23073000,110979750
KJ136181,2250,4642500,64330500
KJ183482,2374500,15123000,89337750
RY180022,2250,4500,13673250
AR148867,4957500,26471250,121553250
ED106437,16500,1504500,38841750
ED158009,10500,1523250,49167000
KJ40051,54750,6289500,69201750
RT86943,4500,1479000,39072750
RY50866,6204000,30623250,128905500
XC163762,954750,11709750,84953250
ED148220,4331250,23290500,106047000
VL89716,52500,4111500,64017750
AR197864,3722250,21324000,97562250
ED174482,3750,18000,25298250
FT107482,196500,9769500,81871500
KJ72986,750,4683750,75497250
RT104128,7371000,29641500,119952000
RY1905,750,1500,1777500
AR137924,2970750,17993250,91707000
RT152501,3947250,18940500,93018750
RT21634,14250,3393000,53199750
RY98280,36000,12732750,93971250
VL7378,243750,7077750,76452000
KJ48312,3859500,19669500,101520750
VL183757,3323250,17064750,87678000
XC21045,8250,5154000,60374250
AR162535,1263750,10277250,74091000
RY107052,1144500,16872000,105141750
VL115146,776250,10983750,81285000
KJ17402,3066750,17166750,83178750
AR179655,4926000,23070750,105209250
FT140838,3073500,20628000,105014250
RT138079,1779000,15251250,89374500
ED66895,1716750,13956000,88832250
KJ79697,9000,2895000,44871750
KJ187493,1224000,11526000,77466000
VL81590,1470750,10259250,71310000
KJ139712,3975750,17220750,85515000
KJ210309,4429500,23262000,113979750
RY16294,2113500,13281000,81056250
AR54702,3348750,19917000,102687000
FT126830,241500,7104750,71882250
XC160225,1889250,14191500,83874750
KJ47581,5832750,26967750,112366500
RT133556,5066250,24059250,107337750
RT195558,234750,9437250,76211250
ED189170,3484500,17824500,98090250
RT174220,4178250,20814750,95661000
VL1406,211500,10474500,85397250
ED7469,3328500,18578250,95154000
KJ192528,3467250,19098750,90940500
AR113344,5498250,23301000,98799750
